<ticker>,<date>,<time>,<close>
banknifty_option_contract,3/2/2022,12:44:00,405.3
banknifty_option_contract,3/2/2022,12:45:00,407.5
banknifty_option_contract,3/2/2022,12:46:00,408.4
banknifty_option_contract,3/2/2022,12:47:00,421.6
banknifty_option_contract,3/2/2022,12:48:00,415.65
banknifty_option_contract,3/2/2022,12:49:00,411.3
banknifty_option_contract,3/2/2022,12:50:00,417.9
banknifty_option_contract,3/2/2022,12:51:00,436.75
banknifty_option_contract,3/2/2022,12:52:00,438.2
banknifty_option_contract,3/2/2022,12:53:00,439.25
banknifty_option_contract,3/2/2022,12:54:00,415.3
banknifty_option_contract,3/2/2022,12:55:00,411.05
banknifty_option_contract,3/2/2022,12:56:00,404.4
banknifty_option_contract,3/2/2022,12:57:00,404.6
banknifty_option_contract,3/2/2022,12:58:00,407.05
banknifty_option_contract,3/2/2022,12:59:00,406.95
banknifty_option_contract,3/2/2022,13:00:00,399.05
banknifty_option_contract,3/2/2022,13:01:00,387.05
banknifty_option_contract,3/2/2022,13:02:00,401.75
banknifty_option_contract,3/2/2022,13:03:00,396.5
banknifty_option_contract,3/2/2022,13:04:00,395.3
banknifty_option_contract,3/2/2022,13:05:00,395.05
banknifty_option_contract,3/2/2022,13:06:00,392.05
banknifty_option_contract,3/2/2022,13:07:00,396.45
banknifty_option_contract,3/2/2022,13:08:00,411.2
banknifty_option_contract,3/2/2022,13:09:00,412.05
banknifty_option_contract,3/2/2022,13:10:00,416.95
banknifty_option_contract,3/2/2022,13:11:00,416.85
banknifty_option_contract,3/2/2022,13:12:00,411.9
banknifty_option_contract,3/2/2022,13:13:00,399.55
banknifty_option_contract,3/2/2022,13:14:00,396.1
banknifty_option_contract,3/2/2022,13:15:00,402.35
banknifty_option_contract,3/2/2022,13:16:00,400.2
banknifty_option_contract,3/2/2022,13:17:00,391.65
banknifty_option_contract,3/2/2022,13:18:00,388
banknifty_option_contract,3/2/2022,13:19:00,384
banknifty_option_contract,3/2/2022,13:20:00,380.05
banknifty_option_contract,3/2/2022,13:21:00,374.5
banknifty_option_contract,3/2/2022,13:22:00,376.95
banknifty_option_contract,3/2/2022,13:23:00,378.1
banknifty_option_contract,3/2/2022,13:24:00,382.8
banknifty_option_contract,3/2/2022,13:25:00,393.3
banknifty_option_contract,3/2/2022,13:26:00,392.3
banknifty_option_contract,3/2/2022,13:27:00,385.3
banknifty_option_contract,3/2/2022,13:28:00,381.65
banknifty_option_contract,3/2/2022,13:29:00,385.3
banknifty_option_contract,3/2/2022,13:30:00,397.95
banknifty_option_contract,3/2/2022,13:31:00,394.2
banknifty_option_contract,3/2/2022,13:32:00,395
banknifty_option_contract,3/2/2022,13:33:00,401.15
banknifty_option_contract,3/2/2022,13:34:00,396.8
banknifty_option_contract,3/2/2022,13:35:00,394.85
banknifty_option_contract,3/2/2022,13:36:00,400.65
banknifty_option_contract,3/2/2022,13:37:00,395.9
banknifty_option_contract,3/2/2022,13:38:00,381.55
banknifty_option_contract,3/2/2022,13:39:00,367.65
banknifty_option_contract,3/2/2022,13:40:00,343.4
banknifty_option_contract,3/2/2022,13:41:00,349.1
banknifty_option_contract,3/2/2022,13:42:00,351
banknifty_option_contract,3/2/2022,13:43:00,344
banknifty_option_contract,3/2/2022,13:44:00,339.7
banknifty_option_contract,3/2/2022,13:45:00,338
banknifty_option_contract,3/2/2022,13:46:00,336.5
banknifty_option_contract,3/2/2022,13:47:00,347.15
banknifty_option_contract,3/2/2022,13:48:00,355.75
banknifty_option_contract,3/2/2022,13:49:00,335.55
banknifty_option_contract,3/2/2022,13:50:00,326.1
banknifty_option_contract,3/2/2022,13:51:00,332.4
banknifty_option_contract,3/2/2022,13:52:00,334.45
banknifty_option_contract,3/2/2022,13:53:00,339.95
banknifty_option_contract,3/2/2022,13:54:00,343.5
banknifty_option_contract,3/2/2022,13:55:00,352.65
banknifty_option_contract,3/2/2022,13:56:00,345.95
banknifty_option_contract,3/2/2022,13:57:00,348
banknifty_option_contract,3/2/2022,13:58:00,346.3
banknifty_option_contract,3/2/2022,13:59:00,344.25
banknifty_option_contract,3/2/2022,14:00:00,355
banknifty_option_contract,3/2/2022,14:01:00,351.45
banknifty_option_contract,3/2/2022,14:02:00,351.6
banknifty_option_contract,3/2/2022,14:03:00,348.5
banknifty_option_contract,3/2/2022,14:04:00,355
banknifty_option_contract,3/2/2022,14:05:00,355.35
banknifty_option_contract,3/2/2022,14:06:00,342.55
banknifty_option_contract,3/2/2022,14:07:00,346.5
banknifty_option_contract,3/2/2022,14:08:00,352.2
banknifty_option_contract,3/2/2022,14:09:00,353.85
banknifty_option_contract,3/2/2022,14:10:00,344.2
banknifty_option_contract,3/2/2022,14:11:00,340
banknifty_option_contract,3/2/2022,14:12:00,338.7
banknifty_option_contract,3/2/2022,14:13:00,345.6
banknifty_option_contract,3/2/2022,14:14:00,345.5
banknifty_option_contract,3/2/2022,14:15:00,342.15
banknifty_option_contract,3/2/2022,14:16:00,346.4
banknifty_option_contract,3/2/2022,14:17:00,336.4
banknifty_option_contract,3/2/2022,14:18:00,334
banknifty_option_contract,3/2/2022,14:19:00,331.85
banknifty_option_contract,3/2/2022,14:20:00,329.55
banknifty_option_contract,3/2/2022,14:21:00,333.15
banknifty_option_contract,3/2/2022,14:22:00,331.85
banknifty_option_contract,3/2/2022,14:23:00,331.4
banknifty_option_contract,3/2/2022,14:24:00,334
banknifty_option_contract,3/2/2022,14:25:00,338.7
banknifty_option_contract,3/2/2022,14:26:00,346.25
banknifty_option_contract,3/2/2022,14:27:00,344.95
banknifty_option_contract,3/2/2022,14:28:00,343
banknifty_option_contract,3/2/2022,14:29:00,340
banknifty_option_contract,3/2/2022,14:30:00,343.25
banknifty_option_contract,3/2/2022,14:31:00,345.7
banknifty_option_contract,3/2/2022,14:32:00,341.95
banknifty_option_contract,3/2/2022,14:33:00,337.8
banknifty_option_contract,3/2/2022,14:34:00,327.85
banknifty_option_contract,3/2/2022,14:35:00,324.8
banknifty_option_contract,3/2/2022,14:36:00,331.85
banknifty_option_contract,3/2/2022,14:37:00,331.95
banknifty_option_contract,3/2/2022,14:38:00,332.8
banknifty_option_contract,3/2/2022,14:39:00,330.6
banknifty_option_contract,3/2/2022,14:40:00,321.15
banknifty_option_contract,3/2/2022,14:41:00,322.55
banknifty_option_contract,3/2/2022,14:42:00,313.5
banknifty_option_contract,3/2/2022,14:43:00,321
banknifty_option_contract,3/2/2022,14:44:00,329.35
banknifty_option_contract,3/2/2022,14:45:00,321.5
banknifty_option_contract,3/2/2022,14:46:00,323.35
banknifty_option_contract,3/2/2022,14:47:00,329.65
banknifty_option_contract,3/2/2022,14:48:00,331.2
banknifty_option_contract,3/2/2022,14:49:00,328.8
banknifty_option_contract,3/2/2022,14:50:00,324.6
banknifty_option_contract,3/2/2022,14:51:00,316
banknifty_option_contract,3/2/2022,14:52:00,315
banknifty_option_contract,3/2/2022,14:53:00,314.3
banknifty_option_contract,3/2/2022,14:54:00,316.5
banknifty_option_contract,3/2/2022,14:55:00,316.05
banknifty_option_contract,3/2/2022,14:56:00,307.85
banknifty_option_contract,3/2/2022,14:57:00,293.4
banknifty_option_contract,3/2/2022,14:58:00,296.05
banknifty_option_contract,3/2/2022,14:59:00,294
banknifty_option_contract,3/2/2022,15:00:00,307.25
banknifty_option_contract,3/2/2022,15:01:00,310.35
banknifty_option_contract,3/2/2022,15:02:00,320
banknifty_option_contract,3/2/2022,15:03:00,306
banknifty_option_contract,3/2/2022,15:04:00,299.55
banknifty_option_contract,3/2/2022,15:05:00,293.2
banknifty_option_contract,3/2/2022,15:06:00,289.35
banknifty_option_contract,3/2/2022,15:07:00,289.9
banknifty_option_contract,3/2/2022,15:08:00,288.65
banknifty_option_contract,3/2/2022,15:09:00,295.45
banknifty_option_contract,3/2/2022,15:10:00,292
banknifty_option_contract,3/2/2022,15:11:00,292.9
banknifty_option_contract,3/2/2022,15:12:00,296.3
banknifty_option_contract,3/2/2022,15:13:00,293
banknifty_option_contract,3/2/2022,15:14:00,293.8
banknifty_option_contract,3/2/2022,15:15:00,291.95
banknifty_option_contract,3/2/2022,15:16:00,289.85
